Client,product,expected_revenue,probability
1438,CL,10.93410714285715,0.6935414040169019
1268,CL,15.006142857142873,0.6657721445197167
1425,CL,15.725257142857144,0.5139900615840467
1118,CL,8.04021428571429,0.9601307073456975
417,CL,23.387678571428566,0.71288031997834
1524,CL,24.031099999999967,0.5996410391844849
873,CL,9.255178571428571,0.8032930750476377
1259,CL,11.918107142857144,0.7598107263623722
1035,CL,12.706914285714278,0.6473068114405407
73,CL,14.72763928571427,0.49522486792765236
238,CL,10.344146428571433,0.7877198158873491
316,CL,12.105803571428574,0.8568731819993889
147,CL,11.113607142857152,0.6835218651191003
1549,CL,86.25135000000006,0.6902144696212333
408,CL,12.187121428571428,0.8439636060709924
298,CL,15.872235714285727,0.7386407244231836
1582,CL,10.637732142857155,0.7992738244556358
775,CL,14.659535714285711,0.9992074830312615
1117,CL,13.9357357142857,0.8972916230734751
1564,CL,8.409482142857149,0.8553067186356764
678,CL,12.853703571428573,0.9995812037984297
729,CL,20.186053571428555,0.5864225826446545
404,CL,15.925882142857144,0.5367509332614356
187,CL,11.366414285714287,0.6888535739446916
1364,CL,16.761946428571445,0.5679565511476028
1585,CL,12.940378571428578,0.7153930374475749
1298,CL,15.631857142857132,0.7033705801852279
693,CL,11.602021428571437,0.6677971166940557
1160,CL,9.449599999999998,0.8165096479614601
1291,CL,10.075728571428561,0.7993938876216004
23,CL,8.850610714285715,0.8137047571781542
1267,CL,14.476964285714292,0.7331903489255841
1583,CL,16.8973,0.6727071519304144
160,CL,12.651228571428563,0.588674951445113
1431,CL,13.068435714285716,0.7564544670366617
1591,CL,14.291146428571427,0.7614378939452466
438,CL,13.901810714285702,0.6602045228836922
1499,CL,8.507378571428578,0.9130984112761983
544,CL,11.68043214285715,0.909889839221035
236,CL,20.329074999999985,0.7084673575142162
900,CL,17.93146071428569,0.6627629081045507
1265,CL,11.981142857142855,0.6023143373109893
348,CL,11.928450000000009,0.7772876377682986
1130,CL,11.13769642857143,0.8613729194656619
1403,CL,12.031396428571425,0.6964203980319922
1179,CL,10.926692857142866,0.7037663271951291
1231,CL,18.350753571428548,0.7941591163087943
1121,CL,12.069424999999988,0.6600739131805213
1111,CL,15.31092857142857,0.650592542094474
1538,CL,9.594124999999991,0.7568566824048384
415,CL,20.423096428571412,0.5096560732618739
1177,CL,11.230382142857145,0.7082871162713754
36,CL,19.35258928571428,0.7419832241222764
863,CL,16.2106892857143,0.7932347518563196
1041,CL,11.553742857142858,0.7848890620431878
632,CL,9.741021428571434,0.7509982160460071
127,CL,10.860317857142855,0.7391784104349338
1484,MF,17.597267857142842,0.5797894762705131
42,MF,10.312289285714272,0.8092638886423802
700,MF,29.44639464285717,0.5264997321708546
801,MF,34.46899107142855,0.46859994506973773
69,MF,28.410612500000028,0.5622992272633487
614,MF,54.313010714285745,0.8389602910096926
437,MF,35.63802321428576,0.6063396490363175
43,MF,44.982892857142836,0.47986785960990563
510,MF,25.994992857142833,0.3983186960751095
1264,MF,26.711539285714238,0.46575271841674115
491,MF,9.358742857142856,0.8958252183873969
643,MF,21.242025000000023,0.5649850906058422
1537,MF,24.679307142857148,0.5509131135805138
1399,MF,20.088457142857173,0.5864634174314082
792,MF,40.2815446428571,0.46307317147288785
1329,MF,9.39840357142858,0.9851415191542172
942,CC,21.852196428571418,0.6654081732708857
617,CC,73.0975285714286,0.5877295343823464
388,CC,23.936389285714284,0.46324141366261823
1500,CC,16.33688928571429,0.5073113277581993
1157,CC,13.341089285714288,0.9776532312203983
374,CC,44.66476428571431,0.536320779129422
575,CC,11.65348928571429,0.7210179514381165
1293,CC,57.391853571428534,0.5881896355955412
1335,CC,293.8331071428575,0.5244005321631219
424,CC,10.788896428571432,0.9960281950978295
1522,CC,15.871124999999997,0.7299097956050579
1442,CC,16.685282142857144,0.5850466466732693
492,CC,10.527721428571414,0.7411347075371357
502,CC,23.36007857142857,0.4373400851053747
564,CC,19.71404285714284,0.48846760859401245
924,CC,19.575603571428573,0.8811248018058991
45,CC,10.176410714285703,0.7387941493687891
629,CC,32.41058928571429,0.38343428350302083
754,CC,23.649571428571438,0.41652779113037525
1539,CC,16.847375000000003,0.5581873848053924
612,CC,67.7091214285714,0.5456699408630621
93,CC,30.924742857142878,0.530130231908758
475,CC,29.697042857142815,0.6261871772554941
455,CC,13.488885714285704,0.8568393953394444
1001,CC,14.904103571428575,0.4830497021419428
908,CC,16.979803571428587,0.9563084155794305
479,CC,64.82441428571423,0.3909664899866726
